               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               2.614,               3.141,              2.4592,             0.56957,             0.72935,             0.63246,             0.28339,                   0,                   0,                   0,            0.070789,           0.0032456,           0.0032456
                   1,              2.1168,              2.1878,              2.0256,              0.7388,             0.68399,             0.72314,             0.35993,                   0,                   0,                   0,            0.040529,           0.0063184,           0.0063184
                   2,              2.0084,              2.1389,              1.9388,             0.75584,             0.67909,             0.66797,              0.3622,                   0,                   0,                   0,            0.010004,           0.0091272,           0.0091272
                   3,              2.0254,              2.0653,              1.9078,             0.59629,             0.64855,             0.70303,             0.35658,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   4,              1.9569,              2.0274,              1.8518,             0.70007,             0.67412,             0.71321,             0.37116,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   5,              2.0096,              1.8561,              1.8815,             0.61704,              0.5801,             0.62356,             0.31201,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                   6,              1.9999,              1.8171,              1.8374,             0.73171,             0.64609,               0.746,              0.4106,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   7,               1.977,              1.7609,              1.8711,             0.79394,             0.69523,             0.76619,             0.42631,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                   8,              1.9209,              1.6079,              1.8628,             0.74452,             0.62645,             0.70396,             0.37712,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                   9,              1.9254,                1.57,              1.8417,             0.77303,             0.68098,             0.77205,             0.41376,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  10,              1.9019,              1.5444,              1.8668,             0.75834,             0.65916,             0.75012,             0.41363,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  11,              1.8717,               1.396,              1.8837,             0.76001,             0.68833,             0.77878,             0.43955,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  12,              1.8294,              1.4081,              1.7995,             0.82903,             0.63081,             0.74875,             0.38036,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  13,              1.7945,              1.3618,              1.8365,             0.81263,             0.68301,             0.75773,             0.40289,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  14,              1.7417,              1.2834,              1.8065,             0.74849,             0.68397,             0.76182,              0.4258,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  15,              1.6838,              1.1802,              1.7555,             0.82695,             0.72552,             0.82591,              0.4602,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  16,              1.6414,              1.1352,              1.7073,             0.78527,             0.75671,             0.81744,             0.46222,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  17,              1.6351,              1.0991,              1.7044,             0.84671,             0.73196,             0.83507,             0.45239,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  18,              1.6032,              1.0479,              1.6631,              0.8198,              0.7667,             0.83047,             0.46022,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  19,              1.5778,              1.0112,              1.6777,             0.82279,             0.72911,             0.84381,             0.47811,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  20,              1.5195,             0.97748,              1.6512,             0.85333,             0.69807,              0.8424,             0.48563,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  21,              1.5095,             0.94895,              1.6378,             0.85302,              0.7398,             0.84508,             0.48628,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  22,              1.4089,             0.90971,              1.5997,             0.84258,             0.79239,             0.85573,             0.48907,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  23,              1.4159,             0.89007,              1.5946,              0.8784,              0.7536,             0.84923,             0.47971,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  24,              1.3495,             0.80295,              1.5604,             0.88214,              0.7303,             0.85689,             0.48345,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
